EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP
AMB01,A1002-2,2000AR/1200AT/208V/3P/4W
ADIS6,A1005,30AR/20AF120/208V/3PH/4W
ADIS5,A1005,30AR/20AF120/208V/3PH/4W
ADIS4,A1005,30AR/20AF120/208V/3PH/4W
ADIS3,A1005,30AR/20AF120/208V/3PH/4W
ADIS2,A1005,30AR/20AF120/208V/3PH/4W
ADIS1,A1005,30AR/20AF120/208V/3PH/4W
ADIS23,A1005,400A120/208V/3PH/4W
ADIS22,A1005,400A120/208V/3PH/4W
ADIS16,A1005,60AR/45AF120/208V/3PH/4W
ADIS18,A1005,200AR/200AF120/208V/3PH/4W
APP02,A1005,100AR/AT120/208V/2PH/3W
APP01,A1005,225AR/150AF120/208V/3PH/4W
ADIS25,A1005,200AR/150AF120/208V/3PH/4W
ADIS21,A1005,400AR/250AF120/208V/3PH/4W
ADIS24,A1005,100AR/70AF120/208V/3PH/4W
ADIS17,A1005,200AR/150AF120/208V/3PH/4W
ADIS14,A1005,200AR/150AF120/208V/3PH/4W
AMB08,A1005,800AR/AT120/208V/3PH/4W
AMB06,A1005,100AR/AT120/208V/3PH/4W
AMB02,A1005,800AR/AT120/208V/3PH/4W
ADIS09,A1005E,30AR/30NF600V/1/2W
ADIS10,A1005E,60AR/40AF120/208V2PH/3W
ATR01,A1005E,7.5KVA600V/120/208V
APP25-CCT1/3/5,A1007-1,100AR/AT120/208V/3PH/4W
APP25,A1007-1,225AR/150AF120/208V/3PH/4W
APP20,A1015,225AR/70AT120/208V/3PH/4W
APP21,A1025,225AR/150AF120/208V/3PH/4W
APP19,A1029,225AR/150AF120/208V/3PH/4W
APP13-CCT25/27/29,A1039-C,70AR/AT120/208V/3PH/4W
APP13,A1039-C,225AR/70AF120/208V/3PH/4W
APP24,A1047-7,225AR/100AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
APP39,A2002,450AR/350AT120/208V/3PH/4W
AELEVATOR,A2002-2,200AR/175AF120/208V/3PH/4W
ADIS76,A3001,10AR/AT120/208V/3PH/4W
ADIS77,A3001,30AR/15AF120/208V/3PH/4W
ADIS78,A3001,30AR/15AF120/208V/3PH/4W
ADIS79,A3001,60AR/15AF120/208V/3PH/4W
ADIS80,A3001,60AR/40AF120/208V/3PH/4W
ADIS81,A3001,30AR/15AF120/208V/3PH/4W
ADIS82,A3001,30AR/15AF120/208V/3PH/4W
ADIS83,A3001,30AR/15AF120/208V/3PH/4W
ADIS84,A3001,30AR/15AF120/208V/3PH/4W
ADIS85,A3001,30AR/30AF120/208V/3PH/4W
