HANDLE,BLOCKNAME,EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION,DWG,DATE,NO._OF_CCT'S,PREVIOUS_ID,EQUIP-DESIG.,EQUIP-LOC,FUSE_INPACITY,FUSE_INPACITY1,MOTOR-HP,EQUIP-ID,EQUIP-LOCATION1,EQUIP-PROPERTIES1
'5473,_U427,ADIS76,A3001,10AR/AT 120/208V/3PH/4W,ASPT15,A3001,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'541D,_U399,ADIS6,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'53EF,_U399,ADIS5,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'53C1,_U399,ADIS4,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'5393,_U399,ADIS3,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'5365,_U399,ADIS2,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'5337,_U399,ADIS1,A1005,30AR/20AF 120/208V/3PH/4W,ASPT01,A1005,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 20A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'5215,*U75,MMB01,M1019,150A/600V/3PH/3W,MSDP05,M1019,MDIS05,M1002,DWG.#,  /  /,# CTT:,PREV. ID#,ASPT01,A1005,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'4FE0,_U399,ADIS77,A3001,30AR/15AF 120/208V/3PH/4W,ASPT15,A3001,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 15A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'4FB2,_U399,ADIS78,A3001,30AR/15AF 120/208V/3PH/4W,ASPT15,A3001,,,DWG. A ELEC SLD,02/18/2011,# CTT:,PREV. ID#,MMB01,M1019,In: 15A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
