HANDLE	BLOCKNAME	EQUIP-DESIGNATION	EQUIP-LOCATION	EQUIP-ELEC-PROP	PRE-DESIGNATION	PRE-DESIGNATION-LOCATION	NEXT-DESIGNATION	NEXT-DESIGNATION-LOCATION	DWG	DATE	NO._OF_CCT'S	PREVIOUS_ID	EQUIP-DESIG.	EQUIP-LOC	FUSE_INPACITY	FUSE_INPACITY1	MOTOR-HP	EQUIP-ID	EQUIP-LOCATION1	EQUIP-PROPERTIES1
'3E40	_U113	BDIS47	B1041-2	100AR/80AF 120/208V/3PH/4W	BSPT12	B1041-2			DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 80A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3E12	_U113	BDIS46	B1041-2	100AR/80AF 120/208V/3PH/4W	BSPT12	B1041-2			DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 80A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3D68	*U129	MMB01	M1019	150A/600V/3PH/3W	MSDP05	M1019	MDIS05	M1002	DWG.#	  /  /	# CTT:	PREV. ID#	BSPT12	B1014-2	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3B90	_U96	BMB24	B1041-4	400AR/AT 347/600V/3PH/4W	BSDP02	B1041-4			DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'351E	_U126	BWELDSTNS_11-20	   B1013-4	30AR/AT 347/600V/2PH	BWELDSTNS_1-10_BKR	     B1013-4			DWG. B ELEC SLD	02/15/2012	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3509	_U126	BWELDSTNS_1-10	   B1013-4	30AR/AT 347/600V/2PH	BWELDSTNS_11-20_BKR	     B1013-4			DWG. B ELEC SLD	02/15/2012	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'34F4	_U97	BWELDSTNS_1-10_BKR	     B1013-4	30AR/AT 347/600V/2PH	BPP-07	B1013-4	BWELDSTNS_11-20	B1013-4	DWG. B ELEC SLD	02/15/2012	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'34DD	_U97	BWELDSTNS_11-20_BKR	     B1013-4	30AR/AT 347/600V/2PH	BPP-08	B1013-4	BWELDSTNS_1-10	B1013-4	DWG. B ELEC SLD	02/15/2012	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'34C8	_U60	BPP-07	B1013-4	250AR/200AT 347/600V 3P/3W	BPP201-BKR32/34/36	    B1013-4	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	02/15/2012			D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'34B3	_U60	BPP-08	B1013-4	250AR/200AT 347/600V 3P/3W	BPP201-BKR38/40/42	    B1013-4	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	02/15/2012			D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'311A	_U97	BPP44-BKR38/40/42	   B1013	100AR/AT 120/208V/3PH/4W	BPP44	B1013	BPP45	B1013	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'3105	_U97	BPP26-BKR62/64/66	B1002	50AR/AT 120/208V/3PH/4W	BPP26	B1002	BPP200	B1002	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'30ED	_U113	BDIS48	B1041	100AR/70AF 120/208V/3PH/4W	BSDP10-BKR05	B1041-4	CNC MACHINE SPT	B1041	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 70A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'30D8	_U97	BSDP10-BKR05	B1041-4	90AR/AT 120/208V/3PH/4W	BSDP10	B1041-4	BDIS48	B1041	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'30BC	_U60	BEP04	B1015-MEZZ	150AR/AT 120/208V/3PH/4W	BSDP04-BMB69	B2042	MULTIFEEDS SEE LEGEND		DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (N/A)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
'30A7	_U97	BMB69	B2042	150AR/AT 120/208V/3PH/4W	BSDP04	B2042	BEP04	B1015-MEZZ	DWG. B ELEC SLD	03/18/2011	# CCT:N/A	PREV. ID: (CNE4)	D SUB SWG	D SUBSTATION	In: 0A	In: 0A	HP:	MDIS???	M1000	20A/208V/3PH/4W
