EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION
['DLP01'],['D1022'],"['200AR/100AT', '600V/3PH/4W']",['DMB42'],['D1022'],"['MULTI', 'FEEDS', 'SEE', 'LEGEND']",[]
['DLP01'],['D1022'],"['200AR/100AT', '600V/3PH/4W']",['DMB42'],['D1022'],"['MULTI', 'FEEDS', 'SEE', 'LEGEND']",[]
['DLP01'],['D1022'],"['200AR/100AT', '600V/3PH/4W']",['DMB42'],['D1022'],"['MULTI', 'FEEDS', 'SEE', 'LEGEND']",[]
['DLP01'],['D1022'],"['200AR/100AT', '600V/3PH/4W']",['DMB42'],['D1022'],"['MULTI', 'FEEDS', 'SEE', 'LEGEND']",[]
['DLP01'],['D1022'],"['200AR/100AT', '600V/3PH/4W']",['DMB42'],['D1022'],"['MULTI', 'FEEDS', 'SEE', 'LEGEND']",[]
"['ST', 'THOMAS', 'HYDRO']","['FEEDER', '#27', 'M1']","['27,600V']",['STSS01'],['OUTSIDE'],[],[]
['STDIS10'],"['ON', 'ROOF']","['60AR/60AT', '600V', '3PH', '4W']",['STSDP03-13'],['ST186'],['STSF10'],"['ON', 'ROOF']"
['STDIS08'],"['ON', 'ROOF']","['60AR/60AT', '600V', '3PH', '4W']",['STSDP03-11'],['ST186'],['STSF08'],"['ON', 'ROOF']"
['STDIS04'],"['ON', 'ROOF']","['80AR/80AT', '600V', '3PH', '4W']",['STMB16'],['ST133'],['STSF04'],"['ON', 'ROOF']"
['STDIS03'],"['ON', 'ROOF']","['40AR/40AT', '600V', '3PH', '4W']",['STMB14'],['ST133'],['STSF03'],"['ON', 'ROOF']"
['STDIS02'],"['ON', 'ROOF']","['80AR/80AT', '600V', '3PH', '4W']",['STMB13'],['ST133'],['STSF02'],"['ON', 'ROOF']"
['STDIS01'],"['ON', 'ROOF']","['60AR/60AT', '600V', '3PH', '4W']",['STMB12'],['ST133'],['STSF01'],"['ON', 'ROOF']"
['STSS01'],['OUTSIDE'],"['225kVA', '27600>600V', '3PH', '3W']","['ST', 'THOMAS', 'HYDRO']",[],['STMB01'],['ST133']
['STPPD'],['ST115'],"['225AR/60AT', '120/208V', '3PH', '4W']",['STSDP02-L-X2/4/6'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STPPM'],['ST133'],"['225AR/100AT', '120/208V', '3PH', '4W']",['STSDP02-R-X2/4/6'],['ST133'],"['MULTIPLE', 'FEEDS', '-', 'SEE', 'LEGEND']",[]
['STSDP02-R-X31/33/35'],['ST133'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPG'],['ST141']
['STSDP02-R-X25/27/29'],['ST133'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPB'],['STWESTCORR']
['STSDP02-R-X19/21/23'],['ST133'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPA'],['ST153']
['STSDP02-R-X13/15/17'],['ST133'],"['200AR/200AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPF'],['ST135']
['STSDP02-R-X7/9/11'],['ST133'],"['150AR/150AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPH'],['ST143']
['STSDP02-R-X2/4/6'],['ST133'],"['100AR/100AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPM'],['ST133']
['STSDP02-L-X27/29/31'],['ST133'],"['150AR/150AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPC'],['STEASTCORR']
['STSDP02-L-X13/15/17'],['ST133'],"['60AR/60AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPL'],['ST148A']
['STSDP02-L-X7/9/11'],['ST133'],"['60AR/60AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPJ'],['ST147']
['STSDP02-L-X2/4/6'],['ST133'],"['60AR/60AT', '120/208V', '3PH', '3W']",['STSDP02'],['ST133'],['STPPD'],['ST115']
['STDIS01'],['ST133'],"['400AR/400AT', '120/208V', '3PH', '3W']",['STTR01'],['ST133'],['STSDP02'],['ST133']
['STTR01'],['ST133'],"['150KVA', '600>120/208V', '3PH', '4W']",['STMB17'],['ST133'],['STDIS01'],['ST133']
