HANDLE,BLOCKNAME,EQUIP-DESIGNATION,EQUIP-LOCATION,EQUIP-ELEC-PROP,PRE-DESIGNATION,PRE-DESIGNATION-LOCATION,NEXT-DESIGNATION,NEXT-DESIGNATION-LOCATION,DWG,DATE,NO._OF_CCT'S,PREVIOUS_ID,EQUIP-DESIG.,EQUIP-LOC,FUSE_INPACITY,FUSE_INPACITY1,MOTOR-HP,EQUIP-ID,EQUIP-LOCATION1,EQUIP-PROPERTIES1
'20753F,*U124,ST THOMAS HYDRO,        FEEDER #27 M1,"27,600V",STSS01,             OUTSIDE,,,,,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'204780,*U123,STDIMRACK,    ST170,200AR/200AT  120/208V  3PH  4W,STSDP04-X49/51/53,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'204501,*U107,STPPN,    ST186,225AR/200AT  120/208V  3PH  4W,STSDP04-X44/46/48,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'204281,*U107,STPPQ/Q1,    ST179,225AR/200AT  120/208V  3PH  4W,STSDP04-X43/45/47,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'204001,*U107,STPPS/S1,    ST186,225AR/125AT  120/208V  3PH  4W,STSDP04-X38/40/42,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'203D82,*U107,STPPP,    ST170,225AR/60AT  120/208V  3PH  4W,STSDP04-X8/10/12,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'203B03,*U107,STPPPORT,    STPORTABLE,225AR/100AT  120/208V  3PH  4W,STSDP04-X2/4/6,    ST186,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'203880,*U126,STSDP04-X49/51/53,         ST186,200AR/200AT  120/208V   3PH 3W,STSDP04,         ST186,STDIMRACK,         ST170,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'203843,*U126,STSDP04-X43/45/47,         ST186,200AR/200AT  120/208V   3PH 3W,STSDP04,         ST186,STPPQ/Q1,         ST179,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'203806,*U126,STSDP04-X44/46/48,         ST186,200AR/200AT  120/208V   3PH 3W,STSDP04,         ST186,STPPN,         ST186,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'20374F,*U126,STSDP04-X38/40/42,         ST186,125AR/125AT  120/208V   3PH 3W,STSDP04,         ST186,STPPS/S1,         ST186,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'203712,*U126,STSDP04-X8/10/12,         ST186,60AR/60AT  120/208V   3PH 3W,STSDP04,         ST186,STPPP,         ST170,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'20368C,*U126,STSDP04-X2/4/6,         ST186,100AR/100AT  120/208V   3PH 3W,STSDP04,         ST186,STPPPORT,     STPORTABLE,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'203309,*U134,DLP01,D1022,200AR/100AT 600V/3PH/4W,DMB42,D1022,MULTI FEEDS SEE LEGEND,,DWG. D ELEC SLD,03/28/2011,# CCT:N/A,PREV. ID: (1D0),,,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'202E7D,*U108,STTR02,    ST186,300KVA  600>120/208V  3PH  4W,STSDP03-16,    ST186,STSDP04,    ST186,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'202BFE,*U107,STPPR1,    ST170,225AR/60AT  120/208V  3PH  4W,STTR03,    ST170,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'2026FF,*U107,STPPR,    ST170,225AR/60AT  120/208V  3PH  4W,STTR03,    ST170,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'20247B,*U108,STTR03,    ST170,45KVA  600>120/208V  3PH  4W,STSDP03-14,    ST186,STPPR/R1,    ST170,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'2021FC,*U123,STDIS10,  ON ROOF,60AR/60AT  600V  3PH  4W,STSDP03-13,    ST186,STSF10,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'201F7D,*U123,STDIS08,  ON ROOF,60AR/60AT  600V  3PH  4W,STSDP03-11,    ST186,STSF08,  ON ROOF,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'201CC0,*U126,STSDP03-16,         ST186,300AR/300AT    600V     3PH 3W,STSDP03,         ST186,STTR02,         ST186,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'201C83,*U126,STSDP03-14,         ST186,60AR/60AT    600V     3PH 3W,STSDP03,         ST186,STTR03,         ST170,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'201C46,*U126,STSDP03-13,         ST186,100AR/100AT    600V     3PH 3W,STSDP03,         ST186,STSDIS10,         ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'201C09,*U126,STSDP03-11,         ST186,60AR/60AT    600V     3PH 3W,STSDP03,         ST186,STSDIS08,         ON ROOF,DWG. ST. THOMAS ELEC SLD,         02/28/12,# CCT:N/A,PREV. ID: (CNE4),D SUB SWG,D SUBSTATION,In: 1200A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'2016E6,*U133,DLP01,D1022,200AR/100AT 600V/3PH/4W,DMB42,D1022,MULTI FEEDS SEE LEGEND,,DWG. D ELEC SLD,03/28/2011,# CCT:N/A,PREV. ID: (1D0),,,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'201148,*U130,DLP01,D1022,200AR/100AT 600V/3PH/4W,DMB42,D1022,MULTI FEEDS SEE LEGEND,,DWG. D ELEC SLD,03/28/2011,# CCT:N/A,PREV. ID: (1D0),,,In: 0A,In: 0A,HP:,MDIS???,M1000,20A/208V/3PH/4W
'200D01,*U107,STPPG,    ST141,225AR/200AT  120/208V  3PH  4W,STSDP02-R-X31/33/35,    ST133,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
'200A82,*U107,STPPB,    STWESTCORR,225AR/200AT  120/208V  3PH  4W,STSDP02-R-X25/27/29,    ST133,MULTIPLE FEEDS - SEE LEGEND,,DWG. WOODSTOCK ELEC SLD,         02/28/12,,,D SUB SWG,D SUBSTATION,In: 0A,In: 0A,,MDIS???,M1000,20A/208V/3PH/4W
